Urban rural status,date,N_vaccinated,population,Vaccination rate
Large fringe metro,2021-11-09,1369204,2472283,55.3822
Medium metro,2021-11-09,1535730,2998590,51.2151
Micropolitan,2021-11-09,819607,1903516,43.0575
Non-core,2021-11-09,166788,447279,37.2895
Small metro,2021-11-09,211370,491627,42.994
Large central metro,2021-11-10,1913216,3361980,56.9074
Large fringe metro,2021-11-10,1370152,2472283,55.4205
Medium metro,2021-11-10,1536894,2998590,51.2539
Micropolitan,2021-11-10,820343,1903516,43.0962
Non-core,2021-11-10,166967,447279,37.3295
Small metro,2021-11-10,211534,491627,43.0273
Large central metro,2021-11-11,1914526,3361980,56.9464
Large fringe metro,2021-11-11,1371158,2472283,55.4612
Medium metro,2021-11-11,1537996,2998590,51.2906
Micropolitan,2021-11-11,821013,1903516,43.1314
Non-core,2021-11-11,167131,447279,37.3662
Small metro,2021-11-11,211705,491627,43.0621
Large central metro,2021-11-12,1916249,3361980,56.9976
Large fringe metro,2021-11-12,1372422,2472283,55.5123
Medium metro,2021-11-12,1539553,2998590,51.3426
Micropolitan,2021-11-12,822036,1903516,43.1851
Non-core,2021-11-12,167354,447279,37.416
Small metro,2021-11-12,211908,491627,43.1034
Large central metro,2021-11-13,1917161,3361980,57.0248
Large fringe metro,2021-11-13,1373144,2472283,55.5415
Medium metro,2021-11-13,1540352,2998590,51.3692
Micropolitan,2021-11-13,822438,1903516,43.2063
Non-core,2021-11-13,167445,447279,37.4364
Small metro,2021-11-13,212035,491627,43.1292
Large central metro,2021-11-14,1917673,3361980,57.04
Large fringe metro,2021-11-14,1373538,2472283,55.5575
Medium metro,2021-11-14,1540810,2998590,51.3845
Micropolitan,2021-11-14,822691,1903516,43.2195
Non-core,2021-11-14,167486,447279,37.4455
Small metro,2021-11-14,212101,491627,43.1427
Large central metro,2021-11-15,1919025,3361980,57.0802
Large fringe metro,2021-11-15,1374593,2472283,55.6001
Medium metro,2021-11-15,1542122,2998590,51.4282
Micropolitan,2021-11-15,823451,1903516,43.2595
Non-core,2021-11-15,167644,447279,37.4809
Small metro,2021-11-15,212267,491627,43.1764
Large central metro,2021-11-16,1920439,3361980,57.1223
Large fringe metro,2021-11-16,1375480,2472283,55.636
Medium metro,2021-11-16,1543259,2998590,51.4662
Micropolitan,2021-11-16,824209,1903516,43.2993
Non-core,2021-11-16,167823,447279,37.5209
Small metro,2021-11-16,212470,491627,43.2177
Large central metro,2021-11-17,1921854,3361980,57.1643
Large fringe metro,2021-11-17,1376395,2472283,55.673
Medium metro,2021-11-17,1544407,2998590,51.5044
Micropolitan,2021-11-17,825017,1903516,43.3417
Non-core,2021-11-17,167980,447279,37.556
Small metro,2021-11-17,212656,491627,43.2556
Large central metro,2021-11-18,1923279,3361980,57.2067
Large fringe metro,2021-11-18,1377369,2472283,55.7124
Medium metro,2021-11-18,1545714,2998590,51.548
Micropolitan,2021-11-18,825855,1903516,43.3858
Non-core,2021-11-18,168138,447279,37.5913
Small metro,2021-11-18,212846,491627,43.2942
Large central metro,2021-11-19,1924948,3361980,57.2564
Large fringe metro,2021-11-19,1378582,2472283,55.7615
Medium metro,2021-11-19,1547153,2998590,51.596
Micropolitan,2021-11-19,826827,1903516,43.4368
Non-core,2021-11-19,168349,447279,37.6385
Small metro,2021-11-19,213126,491627,43.3512
Large central metro,2021-11-20,1925757,3361980,57.2804
Large fringe metro,2021-11-20,1379171,2472283,55.7853
Medium metro,2021-11-20,1547902,2998590,51.621
Micropolitan,2021-11-20,827179,1903516,43.4553
Non-core,2021-11-20,168407,447279,37.6514
Small metro,2021-11-20,213212,491627,43.3687
Large central metro,2021-11-21,1926201,3361980,57.2936
Large fringe metro,2021-11-21,1379560,2472283,55.8011
Medium metro,2021-11-21,1548347,2998590,51.6358
Micropolitan,2021-11-21,827433,1903516,43.4687
Non-core,2021-11-21,168467,447279,37.6649
Small metro,2021-11-21,213275,491627,43.3815
Large central metro,2021-11-22,1927652,3361980,57.3368
Large fringe metro,2021-11-22,1380532,2472283,55.8404
Medium metro,2021-11-22,1549537,2998590,51.6755
Micropolitan,2021-11-22,828091,1903516,43.5032
Non-core,2021-11-22,168609,447279,37.6966
Small metro,2021-11-22,213452,491627,43.4175
Large central metro,2021-11-23,1928983,3361980,57.3764
Large fringe metro,2021-11-23,1381474,2472283,55.8785
Medium metro,2021-11-23,1550688,2998590,51.7139
Micropolitan,2021-11-23,828734,1903516,43.537
Non-core,2021-11-23,168762,447279,37.7308
Small metro,2021-11-23,213629,491627,43.4535
Large central metro,2021-11-24,1930492,3361980,57.4213
Large fringe metro,2021-11-24,1382506,2472283,55.9202
Medium metro,2021-11-24,1551687,2998590,51.7472
Micropolitan,2021-11-24,829417,1903516,43.5729
Non-core,2021-11-24,168920,447279,37.7661
Small metro,2021-11-24,213787,491627,43.4856
Large central metro,2021-11-25,1930522,3361980,57.4222
Large fringe metro,2021-11-25,1382537,2472283,55.9215
Medium metro,2021-11-25,1551732,2998590,51.7487
Micropolitan,2021-11-25,829435,1903516,43.5738
Non-core,2021-11-25,168924,447279,37.767
Small metro,2021-11-25,213793,491627,43.4868
Large central metro,2021-11-26,1932262,3361980,57.4739
Large fringe metro,2021-11-26,1383623,2472283,55.9654
Medium metro,2021-11-26,1552891,2998590,51.7874
Micropolitan,2021-11-26,830075,1903516,43.6075
Non-core,2021-11-26,169070,447279,37.7997
Small metro,2021-11-26,213962,491627,43.5212
Large central metro,2021-11-27,1934159,3361980,57.5304
Large fringe metro,2021-11-27,1384935,2472283,56.0185
Medium metro,2021-11-27,1553904,2998590,51.8212
Micropolitan,2021-11-27,830653,1903516,43.6378
Non-core,2021-11-27,169175,447279,37.8231
Small metro,2021-11-27,214104,491627,43.5501
Large central metro,2021-11-28,1935430,3361980,57.5682
Large fringe metro,2021-11-28,1385773,2472283,56.0524
Medium metro,2021-11-28,1554731,2998590,51.8487
Micropolitan,2021-11-28,831046,1903516,43.6585
Non-core,2021-11-28,169241,447279,37.8379
Small metro,2021-11-28,214205,491627,43.5706
Large central metro,2021-11-29,1939017,3361980,57.6749
Large fringe metro,2021-11-29,1388120,2472283,56.1473
Medium metro,2021-11-29,1557681,2998590,51.9471
Micropolitan,2021-11-29,832207,1903516,43.7195
Non-core,2021-11-29,169474,447279,37.89
Small metro,2021-11-29,214432,491627,43.6168
Large central metro,2021-11-30,1943460,3361980,57.807
Large fringe metro,2021-11-30,1391046,2472283,56.2656
Medium metro,2021-11-30,1560490,2998590,52.0408
Micropolitan,2021-11-30,833414,1903516,43.7829
Non-core,2021-11-30,169742,447279,37.9499
Small metro,2021-11-30,214804,491627,43.6925
Large central metro,2021-12-01,1948336,3361980,57.952
Large fringe metro,2021-12-01,1393987,2472283,56.3846
Medium metro,2021-12-01,1563517,2998590,52.1417
Micropolitan,2021-12-01,834694,1903516,43.8501
Non-core,2021-12-01,170019,447279,38.0118
Small metro,2021-12-01,215156,491627,43.7641
Large central metro,2021-12-02,1951853,3361980,58.0567
Large fringe metro,2021-12-02,1396518,2472283,56.487
Medium metro,2021-12-02,1566338,2998590,52.2358
Micropolitan,2021-12-02,835761,1903516,43.9062
Non-core,2021-12-02,170225,447279,38.0579
Small metro,2021-12-02,215393,491627,43.8123
Large central metro,2021-12-03,1955702,3361980,58.1711
Large fringe metro,2021-12-03,1399445,2472283,56.6054
Medium metro,2021-12-03,1569092,2998590,52.3277
Micropolitan,2021-12-03,837539,1903516,43.9996
Non-core,2021-12-03,170553,447279,38.1312
Small metro,2021-12-03,215789,491627,43.8928
Large central metro,2021-12-04,1961710,3361980,58.3498
Large fringe metro,2021-12-04,1403199,2472283,56.7572
Medium metro,2021-12-04,1571889,2998590,52.4209
Micropolitan,2021-12-04,838310,1903516,44.0401
Non-core,2021-12-04,170718,447279,38.1681
Small metro,2021-12-04,215950,491627,43.9256
Large central metro,2021-12-05,1963473,3361980,58.4023
Large fringe metro,2021-12-05,1404523,2472283,56.8108
Medium metro,2021-12-05,1574282,2998590,52.5007
Micropolitan,2021-12-05,838688,1903516,44.0599
Non-core,2021-12-05,170776,447279,38.1811
Small metro,2021-12-05,216049,491627,43.9457
Large central metro,2021-12-06,1967110,3361980,58.5105
Large fringe metro,2021-12-06,1407197,2472283,56.9189
Medium metro,2021-12-06,1577079,2998590,52.594
Micropolitan,2021-12-06,839635,1903516,44.1097
Non-core,2021-12-06,170963,447279,38.2229
Small metro,2021-12-06,216247,491627,43.986
Large central metro,2021-12-07,1970969,3361980,58.6252
Large fringe metro,2021-12-07,1409774,2472283,57.0232
Medium metro,2021-12-07,1579909,2998590,52.6884
Micropolitan,2021-12-07,840556,1903516,44.1581
Non-core,2021-12-07,171176,447279,38.2705
Small metro,2021-12-07,216519,491627,44.0413
Large central metro,2021-12-08,1974937,3361980,58.7433
Large fringe metro,2021-12-08,1412294,2472283,57.1251
Medium metro,2021-12-08,1582641,2998590,52.7795
Micropolitan,2021-12-08,841767,1903516,44.2217
Non-core,2021-12-08,171402,447279,38.321
Small metro,2021-12-08,216752,491627,44.0887
Large central metro,2021-12-09,1978869,3361980,58.8602
Large fringe metro,2021-12-09,1415428,2472283,57.2519
Medium metro,2021-12-09,1585051,2998590,52.8599
Micropolitan,2021-12-09,842878,1903516,44.2801
Non-core,2021-12-09,171657,447279,38.3781
Small metro,2021-12-09,216967,491627,44.1324
Large central metro,2021-12-10,1982922,3361980,58.9808
Large fringe metro,2021-12-10,1418011,2472283,57.3563
Medium metro,2021-12-10,1588711,2998590,52.9819
Micropolitan,2021-12-10,844289,1903516,44.3542
Non-core,2021-12-10,171943,447279,38.442
Small metro,2021-12-10,217298,491627,44.1998
Large central metro,2021-12-11,1987779,3361980,59.1252
Large fringe metro,2021-12-11,1421311,2472283,57.4898
Medium metro,2021-12-11,1590966,2998590,53.0571
Micropolitan,2021-12-11,845033,1903516,44.3933
Non-core,2021-12-11,172043,447279,38.4644
Small metro,2021-12-11,217460,491627,44.2327
Large central metro,2021-12-12,1989050,3361980,59.1631
Large fringe metro,2021-12-12,1422388,2472283,57.5334
Medium metro,2021-12-12,1591691,2998590,53.0813
Micropolitan,2021-12-12,845325,1903516,44.4086
Non-core,2021-12-12,172081,447279,38.4729
Small metro,2021-12-12,217539,491627,44.2488
Large central metro,2021-12-13,1992159,3361980,59.2555
Large fringe metro,2021-12-13,1424480,2472283,57.618
Medium metro,2021-12-13,1593756,2998590,53.1502
Micropolitan,2021-12-13,846131,1903516,44.451
Non-core,2021-12-13,172247,447279,38.51
Small metro,2021-12-13,217711,491627,44.2838
Large central metro,2021-12-14,1995314,3361980,59.3494
Large fringe metro,2021-12-14,1426507,2472283,57.7
Medium metro,2021-12-14,1596223,2998590,53.2325
Micropolitan,2021-12-14,847163,1903516,44.5052
Non-core,2021-12-14,172428,447279,38.5504
Small metro,2021-12-14,217985,491627,44.3395
Large central metro,2021-12-15,1998100,3361980,59.4322
Large fringe metro,2021-12-15,1428361,2472283,57.775
Medium metro,2021-12-15,1598341,2998590,53.3031
Micropolitan,2021-12-15,848108,1903516,44.5548
Non-core,2021-12-15,172596,447279,38.588
Small metro,2021-12-15,218298,491627,44.4032
Large central metro,2021-12-16,1999601,3361980,59.4769
Large fringe metro,2021-12-16,1429549,2472283,57.823
Medium metro,2021-12-16,1599678,2998590,53.3477
Micropolitan,2021-12-16,848766,1903516,44.5894
Non-core,2021-12-16,172750,447279,38.6224
