Urban rural status,date,N_vaccinated,population,Vaccination rate
Medium metro,2020-12-16,1,2998590,0
Micropolitan,2020-12-16,1,1903516,1e-4
Non-core,2020-12-16,0,447279,0
Small metro,2020-12-16,0,491627,0
Large central metro,2020-12-17,2,3361980,1e-4
Large fringe metro,2020-12-17,2,2472283,1e-4
Medium metro,2020-12-17,1,2998590,0
Micropolitan,2020-12-17,1,1903516,1e-4
Non-core,2020-12-17,0,447279,0
Small metro,2020-12-17,0,491627,0
Large central metro,2020-12-18,2,3361980,1e-4
Large fringe metro,2020-12-18,2,2472283,1e-4
Medium metro,2020-12-18,1,2998590,0
Micropolitan,2020-12-18,1,1903516,1e-4
Non-core,2020-12-18,0,447279,0
Small metro,2020-12-18,0,491627,0
Large central metro,2020-12-19,2,3361980,1e-4
Large fringe metro,2020-12-19,2,2472283,1e-4
Medium metro,2020-12-19,1,2998590,0
Micropolitan,2020-12-19,1,1903516,1e-4
Non-core,2020-12-19,1,447279,2e-4
Small metro,2020-12-19,0,491627,0
Large central metro,2020-12-20,3,3361980,1e-4
Large fringe metro,2020-12-20,2,2472283,1e-4
Medium metro,2020-12-20,1,2998590,0
Micropolitan,2020-12-20,1,1903516,1e-4
Non-core,2020-12-20,1,447279,2e-4
Small metro,2020-12-20,0,491627,0
Large central metro,2020-12-21,5,3361980,1e-4
Large fringe metro,2020-12-21,2,2472283,1e-4
Medium metro,2020-12-21,3,2998590,1e-4
Micropolitan,2020-12-21,1,1903516,1e-4
Non-core,2020-12-21,1,447279,2e-4
Small metro,2020-12-21,0,491627,0
Large central metro,2020-12-22,8,3361980,2e-4
Large fringe metro,2020-12-22,2,2472283,1e-4
Medium metro,2020-12-22,8,2998590,3e-4
Micropolitan,2020-12-22,1,1903516,1e-4
Non-core,2020-12-22,1,447279,2e-4
Small metro,2020-12-22,1,491627,2e-4
Large central metro,2020-12-23,12,3361980,4e-4
Large fringe metro,2020-12-23,2,2472283,1e-4
Medium metro,2020-12-23,17,2998590,6e-4
Micropolitan,2020-12-23,4,1903516,2e-4
Non-core,2020-12-23,5,447279,0.0011
Small metro,2020-12-23,8,491627,0.0016
Large central metro,2020-12-24,15,3361980,4e-4
Large fringe metro,2020-12-24,2,2472283,1e-4
Medium metro,2020-12-24,18,2998590,6e-4
Micropolitan,2020-12-24,4,1903516,2e-4
Non-core,2020-12-24,5,447279,0.0011
Small metro,2020-12-24,12,491627,0.0024
Large central metro,2020-12-25,15,3361980,4e-4
Large fringe metro,2020-12-25,3,2472283,1e-4
Medium metro,2020-12-25,18,2998590,6e-4
Micropolitan,2020-12-25,5,1903516,3e-4
Non-core,2020-12-25,5,447279,0.0011
Small metro,2020-12-25,12,491627,0.0024
Large central metro,2020-12-26,15,3361980,4e-4
Large fringe metro,2020-12-26,5,2472283,2e-4
Medium metro,2020-12-26,24,2998590,8e-4
Micropolitan,2020-12-26,6,1903516,3e-4
Non-core,2020-12-26,7,447279,0.0016
Small metro,2020-12-26,12,491627,0.0024
Large central metro,2020-12-27,16,3361980,5e-4
Large fringe metro,2020-12-27,6,2472283,2e-4
Medium metro,2020-12-27,27,2998590,9e-4
Micropolitan,2020-12-27,10,1903516,5e-4
Non-core,2020-12-27,7,447279,0.0016
Small metro,2020-12-27,15,491627,0.0031
Large central metro,2020-12-28,32,3361980,0.001
Large fringe metro,2020-12-28,16,2472283,6e-4
Medium metro,2020-12-28,43,2998590,0.0014
Micropolitan,2020-12-28,21,1903516,0.0011
Non-core,2020-12-28,10,447279,0.0022
Small metro,2020-12-28,17,491627,0.0035
Large central metro,2020-12-29,41,3361980,0.0012
Large fringe metro,2020-12-29,24,2472283,0.001
Medium metro,2020-12-29,61,2998590,0.002
Micropolitan,2020-12-29,31,1903516,0.0016
Non-core,2020-12-29,13,447279,0.0029
Small metro,2020-12-29,18,491627,0.0037
Large central metro,2020-12-30,50,3361980,0.0015
Large fringe metro,2020-12-30,32,2472283,0.0013
Medium metro,2020-12-30,83,2998590,0.0028
Micropolitan,2020-12-30,43,1903516,0.0023
Non-core,2020-12-30,16,447279,0.0036
Small metro,2020-12-30,36,491627,0.0073
Large central metro,2020-12-31,62,3361980,0.0018
Large fringe metro,2020-12-31,49,2472283,0.002
Medium metro,2020-12-31,89,2998590,0.003
Micropolitan,2020-12-31,44,1903516,0.0023
Non-core,2020-12-31,17,447279,0.0038
Small metro,2020-12-31,49,491627,0.01
Large central metro,2021-01-01,93,3361980,0.0028
Large fringe metro,2021-01-01,81,2472283,0.0033
Medium metro,2021-01-01,158,2998590,0.0053
Micropolitan,2021-01-01,96,1903516,0.005
Non-core,2021-01-01,22,447279,0.0049
Small metro,2021-01-01,56,491627,0.0114
Large central metro,2021-01-02,118,3361980,0.0035
Large fringe metro,2021-01-02,97,2472283,0.0039
Medium metro,2021-01-02,182,2998590,0.0061
Micropolitan,2021-01-02,105,1903516,0.0055
Non-core,2021-01-02,23,447279,0.0051
Small metro,2021-01-02,56,491627,0.0114
Large central metro,2021-01-03,140,3361980,0.0042
Large fringe metro,2021-01-03,102,2472283,0.0041
Medium metro,2021-01-03,198,2998590,0.0066
Micropolitan,2021-01-03,110,1903516,0.0058
Non-core,2021-01-03,24,447279,0.0054
Small metro,2021-01-03,58,491627,0.0118
Large central metro,2021-01-04,211,3361980,0.0063
Large fringe metro,2021-01-04,181,2472283,0.0073
Medium metro,2021-01-04,280,2998590,0.0093
Micropolitan,2021-01-04,156,1903516,0.0082
Non-core,2021-01-04,34,447279,0.0076
Small metro,2021-01-04,65,491627,0.0132
Large central metro,2021-01-05,744,3361980,0.0221
Large fringe metro,2021-01-05,429,2472283,0.0174
Medium metro,2021-01-05,541,2998590,0.018
Micropolitan,2021-01-05,294,1903516,0.0154
Non-core,2021-01-05,47,447279,0.0105
Small metro,2021-01-05,130,491627,0.0264
Large central metro,2021-01-06,1387,3361980,0.0413
Large fringe metro,2021-01-06,735,2472283,0.0297
Medium metro,2021-01-06,1083,2998590,0.0361
Micropolitan,2021-01-06,563,1903516,0.0296
Non-core,2021-01-06,78,447279,0.0174
Small metro,2021-01-06,305,491627,0.062
Large central metro,2021-01-07,2072,3361980,0.0616
Large fringe metro,2021-01-07,1021,2472283,0.0413
Medium metro,2021-01-07,1659,2998590,0.0553
Micropolitan,2021-01-07,805,1903516,0.0423
Non-core,2021-01-07,117,447279,0.0262
Small metro,2021-01-07,464,491627,0.0944
Large central metro,2021-01-08,3098,3361980,0.0921
Large fringe metro,2021-01-08,1545,2472283,0.0625
Medium metro,2021-01-08,2611,2998590,0.0871
Micropolitan,2021-01-08,1540,1903516,0.0809
Non-core,2021-01-08,189,447279,0.0423
Small metro,2021-01-08,665,491627,0.1353
Large central metro,2021-01-09,3307,3361980,0.0984
Large fringe metro,2021-01-09,1624,2472283,0.0657
Medium metro,2021-01-09,2714,2998590,0.0905
Micropolitan,2021-01-09,1569,1903516,0.0824
Non-core,2021-01-09,201,447279,0.0449
Small metro,2021-01-09,716,491627,0.1456
Large central metro,2021-01-10,3366,3361980,0.1001
Large fringe metro,2021-01-10,1657,2472283,0.067
Medium metro,2021-01-10,2753,2998590,0.0918
Micropolitan,2021-01-10,1581,1903516,0.0831
Non-core,2021-01-10,201,447279,0.0449
Small metro,2021-01-10,728,491627,0.1481
Large central metro,2021-01-11,5396,3361980,0.1605
Large fringe metro,2021-01-11,2699,2472283,0.1092
Medium metro,2021-01-11,4658,2998590,0.1553
Micropolitan,2021-01-11,2513,1903516,0.132
Non-core,2021-01-11,292,447279,0.0653
Small metro,2021-01-11,998,491627,0.203
Large central metro,2021-01-12,7666,3361980,0.228
Large fringe metro,2021-01-12,3758,2472283,0.152
Medium metro,2021-01-12,6376,2998590,0.2126
Micropolitan,2021-01-12,3316,1903516,0.1742
Non-core,2021-01-12,394,447279,0.0881
Small metro,2021-01-12,1400,491627,0.2848
Large central metro,2021-01-13,9618,3361980,0.2861
Large fringe metro,2021-01-13,4478,2472283,0.1811
Medium metro,2021-01-13,8210,2998590,0.2738
Micropolitan,2021-01-13,4626,1903516,0.243
Non-core,2021-01-13,547,447279,0.1223
Small metro,2021-01-13,1570,491627,0.3193
Large central metro,2021-01-14,10253,3361980,0.305
Large fringe metro,2021-01-14,5050,2472283,0.2043
Medium metro,2021-01-14,8936,2998590,0.298
Micropolitan,2021-01-14,5098,1903516,0.2678
Non-core,2021-01-14,594,447279,0.1328
Small metro,2021-01-14,1705,491627,0.3468
Large central metro,2021-01-15,10924,3361980,0.3249
Large fringe metro,2021-01-15,5428,2472283,0.2196
Medium metro,2021-01-15,9246,2998590,0.3083
Micropolitan,2021-01-15,5400,1903516,0.2837
Non-core,2021-01-15,643,447279,0.1438
Small metro,2021-01-15,1750,491627,0.356
Large central metro,2021-01-16,11581,3361980,0.3445
Large fringe metro,2021-01-16,6052,2472283,0.2448
Medium metro,2021-01-16,9898,2998590,0.3301
Micropolitan,2021-01-16,5834,1903516,0.3065
Non-core,2021-01-16,670,447279,0.1498
Small metro,2021-01-16,1861,491627,0.3785
Large central metro,2021-01-17,12262,3361980,0.3647
Large fringe metro,2021-01-17,6504,2472283,0.2631
Medium metro,2021-01-17,10455,2998590,0.3487
Micropolitan,2021-01-17,6303,1903516,0.3311
Non-core,2021-01-17,830,447279,0.1856
Small metro,2021-01-17,1898,491627,0.3861
Large central metro,2021-01-18,14011,3361980,0.4167
Large fringe metro,2021-01-18,8301,2472283,0.3358
Medium metro,2021-01-18,12132,2998590,0.4046
Micropolitan,2021-01-18,7759,1903516,0.4076
Non-core,2021-01-18,1152,447279,0.2576
Small metro,2021-01-18,2294,491627,0.4666
Large central metro,2021-01-19,17302,3361980,0.5146
Large fringe metro,2021-01-19,10245,2472283,0.4144
Medium metro,2021-01-19,14912,2998590,0.4973
Micropolitan,2021-01-19,9486,1903516,0.4983
Non-core,2021-01-19,1641,447279,0.3669
Small metro,2021-01-19,2567,491627,0.5221
Large central metro,2021-01-20,22278,3361980,0.6626
Large fringe metro,2021-01-20,14089,2472283,0.5699
Medium metro,2021-01-20,19889,2998590,0.6633
Micropolitan,2021-01-20,12137,1903516,0.6376
Non-core,2021-01-20,2082,447279,0.4655
Small metro,2021-01-20,3271,491627,0.6653
Large central metro,2021-01-21,25808,3361980,0.7676
Large fringe metro,2021-01-21,16693,2472283,0.6752
Medium metro,2021-01-21,22856,2998590,0.7622
Micropolitan,2021-01-21,14230,1903516,0.7476
Non-core,2021-01-21,2384,447279,0.533
Small metro,2021-01-21,3665,491627,0.7455
Large central metro,2021-01-22,27764,3361980,0.8258
Large fringe metro,2021-01-22,17945,2472283,0.7258
Medium metro,2021-01-22,23990,2998590,0.8
Micropolitan,2021-01-22,15242,1903516,0.8007
Non-core,2021-01-22,2669,447279,0.5967
Small metro,2021-01-22,3792,491627,0.7713
Large central metro,2021-01-23,29247,3361980,0.8699
Large fringe metro,2021-01-23,18986,2472283,0.768
Medium metro,2021-01-23,24816,2998590,0.8276
Micropolitan,2021-01-23,16072,1903516,0.8443
Non-core,2021-01-23,2863,447279,0.6401
Small metro,2021-01-23,3891,491627,0.7915
Large central metro,2021-01-24,29695,3361980,0.8833
Large fringe metro,2021-01-24,19538,2472283,0.7903
Medium metro,2021-01-24,25595,2998590,0.8536
Micropolitan,2021-01-24,16322,1903516,0.8575
Non-core,2021-01-24,2889,447279,0.6459
Small metro,2021-01-24,3962,491627,0.8059
Large central metro,2021-01-25,36065,3361980,1.0727
Large fringe metro,2021-01-25,24013,2472283,0.9713
Medium metro,2021-01-25,31104,2998590,1.0373000000000001
Micropolitan,2021-01-25,18915,1903516,0.9937
Non-core,2021-01-25,3512,447279,0.7852
Small metro,2021-01-25,4759,491627,0.968
Large central metro,2021-01-26,44090,3361980,1.3114
Large fringe metro,2021-01-26,29238,2472283,1.1826
Medium metro,2021-01-26,38672,2998590,1.2897
Micropolitan,2021-01-26,22437,1903516,1.1787
Non-core,2021-01-26,4230,447279,0.9457
Small metro,2021-01-26,5585,491627,1.136
Large central metro,2021-01-27,52230,3361980,1.5535
Large fringe metro,2021-01-27,35800,2472283,1.4481
Medium metro,2021-01-27,46416,2998590,1.5479
Micropolitan,2021-01-27,27156,1903516,1.4266
Non-core,2021-01-27,5064,447279,1.1322
Small metro,2021-01-27,6671,491627,1.3569
Large central metro,2021-01-28,59211,3361980,1.7612
Large fringe metro,2021-01-28,40643,2472283,1.6439
Medium metro,2021-01-28,52051,2998590,1.7358
Micropolitan,2021-01-28,30609,1903516,1.608
Non-core,2021-01-28,5637,447279,1.2603
Small metro,2021-01-28,7779,491627,1.5823
Large central metro,2021-01-29,64338,3361980,1.9137
Large fringe metro,2021-01-29,43832,2472283,1.7729
Medium metro,2021-01-29,55460,2998590,1.8495
Micropolitan,2021-01-29,32946,1903516,1.7308
Non-core,2021-01-29,6212,447279,1.3888
Small metro,2021-01-29,8513,491627,1.7316
Large central metro,2021-01-30,65836,3361980,1.9583
Large fringe metro,2021-01-30,45022,2472283,1.8211
Medium metro,2021-01-30,58067,2998590,1.9365
Micropolitan,2021-01-30,33494,1903516,1.7596
Non-core,2021-01-30,6348,447279,1.4192
Small metro,2021-01-30,8581,491627,1.7454
Large central metro,2021-01-31,66808,3361980,1.9872
Large fringe metro,2021-01-31,45766,2472283,1.8512
Medium metro,2021-01-31,59142,2998590,1.9723
Micropolitan,2021-01-31,33634,1903516,1.7669
Non-core,2021-01-31,6402,447279,1.4313
Small metro,2021-01-31,8629,491627,1.7552
Large central metro,2021-02-01,74346,3361980,2.2114
Large fringe metro,2021-02-01,50424,2472283,2.0396
Medium metro,2021-02-01,65367,2998590,2.1799
Micropolitan,2021-02-01,37439,1903516,1.9668
Non-core,2021-02-01,6900,447279,1.5427
Small metro,2021-02-01,9535,491627,1.9395
Large central metro,2021-02-02,81096,3361980,2.4121
Large fringe metro,2021-02-02,55458,2472283,2.2432
Medium metro,2021-02-02,72576,2998590,2.4203
Micropolitan,2021-02-02,40840,1903516,2.1455
Non-core,2021-02-02,7630,447279,1.7059
Small metro,2021-02-02,10382,491627,2.1118
Large central metro,2021-02-03,89243,3361980,2.6545
Large fringe metro,2021-02-03,61109,2472283,2.4718
Medium metro,2021-02-03,79212,2998590,2.6416
Micropolitan,2021-02-03,44914,1903516,2.3595
Non-core,2021-02-03,8456,447279,1.8905
Small metro,2021-02-03,11199,491627,2.2779
Large central metro,2021-02-04,98013,3361980,2.9153
Large fringe metro,2021-02-04,67170,2472283,2.7169
Medium metro,2021-02-04,86803,2998590,2.8948
Micropolitan,2021-02-04,48955,1903516,2.5718
Non-core,2021-02-04,9547,447279,2.1345
Small metro,2021-02-04,11930,491627,2.4266
Large central metro,2021-02-05,107312,3361980,3.1919
Large fringe metro,2021-02-05,73539,2472283,2.9745
Medium metro,2021-02-05,93073,2998590,3.1039
Micropolitan,2021-02-05,52554,1903516,2.7609
Non-core,2021-02-05,10297,447279,2.3021
Small metro,2021-02-05,12941,491627,2.6323
Large central metro,2021-02-06,111273,3361980,3.3097
Large fringe metro,2021-02-06,76333,2472283,3.0876
Medium metro,2021-02-06,95685,2998590,3.191
Micropolitan,2021-02-06,53526,1903516,2.812
Non-core,2021-02-06,10507,447279,2.3491
Small metro,2021-02-06,13284,491627,2.702
Large central metro,2021-02-07,113231,3361980,3.368
Large fringe metro,2021-02-07,77537,2472283,3.1363
Medium metro,2021-02-07,96766,2998590,3.2271
Micropolitan,2021-02-07,53811,1903516,2.8269
Non-core,2021-02-07,10599,447279,2.3697
Small metro,2021-02-07,13405,491627,2.7267
Large central metro,2021-02-08,118437,3361980,3.5228
Large fringe metro,2021-02-08,81030,2472283,3.2775
Medium metro,2021-02-08,101648,2998590,3.3899
Micropolitan,2021-02-08,56148,1903516,2.9497
Non-core,2021-02-08,11241,447279,2.5132
Small metro,2021-02-08,13983,491627,2.8442
Large central metro,2021-02-09,126790,3361980,3.7713
Large fringe metro,2021-02-09,86470,2472283,3.4976
Medium metro,2021-02-09,107429,2998590,3.5827
Micropolitan,2021-02-09,58545,1903516,3.0756
Non-core,2021-02-09,11850,447279,2.6494
Small metro,2021-02-09,14692,491627,2.9884
Large central metro,2021-02-10,135314,3361980,4.0248
Large fringe metro,2021-02-10,93405,2472283,3.7781
Medium metro,2021-02-10,116432,2998590,3.8829
Micropolitan,2021-02-10,62999,1903516,3.3096
Non-core,2021-02-10,12460,447279,2.7857
Small metro,2021-02-10,16183,491627,3.2917
Large central metro,2021-02-11,147512,3361980,4.3877
Large fringe metro,2021-02-11,102290,2472283,4.1375
Medium metro,2021-02-11,129244,2998590,4.3102
Micropolitan,2021-02-11,69670,1903516,3.6601
Non-core,2021-02-11,14354,447279,3.2092
Small metro,2021-02-11,18547,491627,3.7726
Large central metro,2021-02-12,157247,3361980,4.6772
Large fringe metro,2021-02-12,109362,2472283,4.4235
Medium metro,2021-02-12,138920,2998590,4.6328
Micropolitan,2021-02-12,76272,1903516,4.0069
Non-core,2021-02-12,16147,447279,3.6101
Small metro,2021-02-12,19974,491627,4.0628
Large central metro,2021-02-13,163261,3361980,4.8561
Large fringe metro,2021-02-13,115926,2472283,4.689
Medium metro,2021-02-13,143761,2998590,4.7943
Micropolitan,2021-02-13,78561,1903516,4.1272
Non-core,2021-02-13,16405,447279,3.6677
Small metro,2021-02-13,20193,491627,4.1074
Large central metro,2021-02-14,164875,3361980,4.9041
Large fringe metro,2021-02-14,116710,2472283,4.7207
Medium metro,2021-02-14,144621,2998590,4.823
Micropolitan,2021-02-14,78943,1903516,4.1472
Non-core,2021-02-14,16465,447279,3.6811
Small metro,2021-02-14,20252,491627,4.1194
Large central metro,2021-02-15,170200,3361980,5.0625
Large fringe metro,2021-02-15,120442,2472283,4.8717
Medium metro,2021-02-15,148117,2998590,4.9396
Micropolitan,2021-02-15,81471,1903516,4.28
Non-core,2021-02-15,17008,447279,3.8025
Small metro,2021-02-15,20680,491627,4.2064
Large central metro,2021-02-16,174556,3361980,5.1921
Large fringe metro,2021-02-16,123283,2472283,4.9866
Medium metro,2021-02-16,152976,2998590,5.1016
Micropolitan,2021-02-16,83516,1903516,4.3875
Non-core,2021-02-16,17211,447279,3.8479
Small metro,2021-02-16,22180,491627,4.5116
Large central metro,2021-02-17,185328,3361980,5.5125
Large fringe metro,2021-02-17,131544,2472283,5.3208
Medium metro,2021-02-17,162528,2998590,5.4201
Micropolitan,2021-02-17,90261,1903516,4.7418
Non-core,2021-02-17,18916,447279,4.2291
Small metro,2021-02-17,24454,491627,4.9741
Large central metro,2021-02-18,197687,3361980,5.8801
Large fringe metro,2021-02-18,140641,2472283,5.6887
Medium metro,2021-02-18,175014,2998590,5.8365
Micropolitan,2021-02-18,98227,1903516,5.1603
Non-core,2021-02-18,20964,447279,4.687
Small metro,2021-02-18,26843,491627,5.46
Large central metro,2021-02-19,211007,3361980,6.2763
Large fringe metro,2021-02-19,149994,2472283,6.067
Medium metro,2021-02-19,188312,2998590,6.28
Micropolitan,2021-02-19,107476,1903516,5.6462
Non-core,2021-02-19,22642,447279,5.0622
Small metro,2021-02-19,28672,491627,5.8321
Large central metro,2021-02-20,221193,3361980,6.5792
Large fringe metro,2021-02-20,156294,2472283,6.3218
Medium metro,2021-02-20,196507,2998590,6.5533
Micropolitan,2021-02-20,110534,1903516,5.8068
Non-core,2021-02-20,23575,447279,5.2708
Small metro,2021-02-20,29437,491627,5.9877
Large central metro,2021-02-21,224733,3361980,6.6845
Large fringe metro,2021-02-21,158234,2472283,6.4003
Medium metro,2021-02-21,200084,2998590,6.6726
Micropolitan,2021-02-21,112273,1903516,5.8982
Non-core,2021-02-21,23676,447279,5.2933
Small metro,2021-02-21,29675,491627,6.0361
Large central metro,2021-02-22,233697,3361980,6.9512
Large fringe metro,2021-02-22,163721,2472283,6.6223
Medium metro,2021-02-22,207642,2998590,6.9247
Micropolitan,2021-02-22,117827,1903516,6.19
Non-core,2021-02-22,24556,447279,5.4901
Small metro,2021-02-22,30838,491627,6.2726
Large central metro,2021-02-23,245250,3361980,7.2948
Large fringe metro,2021-02-23,171991,2472283,6.9568
Medium metro,2021-02-23,218363,2998590,7.2822
Micropolitan,2021-02-23,124002,1903516,6.5144
Non-core,2021-02-23,25990,447279,5.8107
Small metro,2021-02-23,33307,491627,6.7749
Large central metro,2021-02-24,255970,3361980,7.6137
Large fringe metro,2021-02-24,181813,2472283,7.3541
Medium metro,2021-02-24,231104,2998590,7.7071
Micropolitan,2021-02-24,131284,1903516,6.8969
Non-core,2021-02-24,27338,447279,6.1121
Small metro,2021-02-24,34517,491627,7.021
Large central metro,2021-02-25,269225,3361980,8.0079
Large fringe metro,2021-02-25,192514,2472283,7.7869
Medium metro,2021-02-25,243082,2998590,8.1065
Micropolitan,2021-02-25,140670,1903516,7.39
Non-core,2021-02-25,29965,447279,6.6994
Small metro,2021-02-25,36360,491627,7.3959
Large central metro,2021-02-26,281777,3361980,8.3813
Large fringe metro,2021-02-26,206234,2472283,8.3418
Medium metro,2021-02-26,255542,2998590,8.5221
Micropolitan,2021-02-26,148965,1903516,7.8258
Non-core,2021-02-26,32070,447279,7.17
Small metro,2021-02-26,37946,491627,7.7185
Large central metro,2021-02-27,290307,3361980,8.635
Large fringe metro,2021-02-27,210922,2472283,8.5315
Medium metro,2021-02-27,264043,2998590,8.8056
Micropolitan,2021-02-27,151442,1903516,7.9559
Non-core,2021-02-27,32971,447279,7.3715
Small metro,2021-02-27,38498,491627,7.8307
Large central metro,2021-02-28,292773,3361980,8.7084
Large fringe metro,2021-02-28,212650,2472283,8.6014
Medium metro,2021-02-28,266816,2998590,8.898
Micropolitan,2021-02-28,152454,1903516,8.0091
Non-core,2021-02-28,33057,447279,7.3907
Small metro,2021-02-28,38890,491627,7.9105
Large central metro,2021-03-01,298988,3361980,8.8932
Large fringe metro,2021-03-01,217296,2472283,8.7893
Medium metro,2021-03-01,273855,2998590,9.1328
Micropolitan,2021-03-01,155624,1903516,8.1756
Non-core,2021-03-01,33975,447279,7.5959
Small metro,2021-03-01,39722,491627,8.0797
Large central metro,2021-03-02,307030,3361980,9.1324
Large fringe metro,2021-03-02,223884,2472283,9.0558
Medium metro,2021-03-02,281242,2998590,9.3791
Micropolitan,2021-03-02,160051,1903516,8.4082
Non-core,2021-03-02,34668,447279,7.7509
Small metro,2021-03-02,41189,491627,8.3781
Large central metro,2021-03-03,315540,3361980,9.3855
Large fringe metro,2021-03-03,230841,2472283,9.3372
Medium metro,2021-03-03,290318,2998590,9.6818
Micropolitan,2021-03-03,165303,1903516,8.6841
Non-core,2021-03-03,35685,447279,7.9782
Small metro,2021-03-03,42845,491627,8.7149
Large central metro,2021-03-04,327534,3361980,9.7423
Large fringe metro,2021-03-04,241548,2472283,9.7702
Medium metro,2021-03-04,302085,2998590,10.0742
Micropolitan,2021-03-04,174328,1903516,9.1582
Non-core,2021-03-04,37813,447279,8.454
Small metro,2021-03-04,44894,491627,9.1317
Large central metro,2021-03-05,340834,3361980,10.1379
Large fringe metro,2021-03-05,253591,2472283,10.2574
Medium metro,2021-03-05,320788,2998590,10.698
Micropolitan,2021-03-05,185686,1903516,9.7549
Non-core,2021-03-05,40455,447279,9.0447
Small metro,2021-03-05,47174,491627,9.5955
Large central metro,2021-03-06,352491,3361980,10.4846
Large fringe metro,2021-03-06,262481,2472283,10.6169
Medium metro,2021-03-06,332256,2998590,11.0804
Micropolitan,2021-03-06,191029,1903516,10.0356
Non-core,2021-03-06,41208,447279,9.213
Small metro,2021-03-06,48367,491627,9.8381
Large central metro,2021-03-07,356620,3361980,10.6074
Large fringe metro,2021-03-07,264947,2472283,10.7167
Medium metro,2021-03-07,334190,2998590,11.1449
Micropolitan,2021-03-07,192133,1903516,10.0936
Non-core,2021-03-07,41394,447279,9.2546
Small metro,2021-03-07,48591,491627,9.8837
Large central metro,2021-03-08,364416,3361980,10.8393
Large fringe metro,2021-03-08,271415,2472283,10.9783
Medium metro,2021-03-08,340134,2998590,11.3431
Micropolitan,2021-03-08,198279,1903516,10.4165
Non-core,2021-03-08,42678,447279,9.5417
Small metro,2021-03-08,50070,491627,10.1846
Large central metro,2021-03-09,374197,3361980,11.1303
Large fringe metro,2021-03-09,278611,2472283,11.2694
Medium metro,2021-03-09,349347,2998590,11.6504
Micropolitan,2021-03-09,204846,1903516,10.7615
Non-core,2021-03-09,44128,447279,9.8659
Small metro,2021-03-09,52298,491627,10.6377
Large central metro,2021-03-10,387913,3361980,11.5382
Large fringe metro,2021-03-10,288241,2472283,11.6589
Medium metro,2021-03-10,364077,2998590,12.1416
Micropolitan,2021-03-10,213627,1903516,11.2228
Non-core,2021-03-10,45623,447279,10.2001
Small metro,2021-03-10,54887,491627,11.1644
Large central metro,2021-03-11,400568,3361980,11.9146
Large fringe metro,2021-03-11,299200,2472283,12.1022
Medium metro,2021-03-11,377099,2998590,12.5759
Micropolitan,2021-03-11,224535,1903516,11.7958
Non-core,2021-03-11,48024,447279,10.7369
Small metro,2021-03-11,57757,491627,11.7481
Large central metro,2021-03-12,414369,3361980,12.3251
Large fringe metro,2021-03-12,312291,2472283,12.6317
Medium metro,2021-03-12,393715,2998590,13.13
Micropolitan,2021-03-12,233942,1903516,12.29
Non-core,2021-03-12,51198,447279,11.4465
Small metro,2021-03-12,61114,491627,12.431
Large central metro,2021-03-13,423893,3361980,12.6084
Large fringe metro,2021-03-13,318943,2472283,12.9007
Medium metro,2021-03-13,402698,2998590,13.4296
Micropolitan,2021-03-13,238364,1903516,12.5223
Non-core,2021-03-13,52441,447279,11.7244
Small metro,2021-03-13,62901,491627,12.7945
Large central metro,2021-03-14,427109,3361980,12.7041
Large fringe metro,2021-03-14,321171,2472283,12.9909
Medium metro,2021-03-14,405773,2998590,13.5321
Micropolitan,2021-03-14,238982,1903516,12.5548
Non-core,2021-03-14,52523,447279,11.7428
Small metro,2021-03-14,63116,491627,12.8382
Large central metro,2021-03-15,433093,3361980,12.8821
Large fringe metro,2021-03-15,325406,2472283,13.1622
Medium metro,2021-03-15,412396,2998590,13.753
Micropolitan,2021-03-15,241206,1903516,12.6716
Non-core,2021-03-15,53088,447279,11.8691
Small metro,2021-03-15,63942,491627,13.0062
Large central metro,2021-03-16,440133,3361980,13.0915
Large fringe metro,2021-03-16,330741,2472283,13.378
Medium metro,2021-03-16,418049,2998590,13.9415
Micropolitan,2021-03-16,245592,1903516,12.902
Non-core,2021-03-16,53634,447279,11.9912
Small metro,2021-03-16,66323,491627,13.4905
Large central metro,2021-03-17,450759,3361980,13.4075
Large fringe metro,2021-03-17,340307,2472283,13.7649
Medium metro,2021-03-17,427993,2998590,14.2731
Micropolitan,2021-03-17,251676,1903516,13.2216
Non-core,2021-03-17,54892,447279,12.2724
Small metro,2021-03-17,68648,491627,13.9634
Large central metro,2021-03-18,460269,3361980,13.6904
Large fringe metro,2021-03-18,349326,2472283,14.1297
Medium metro,2021-03-18,440090,2998590,14.6766
Micropolitan,2021-03-18,258604,1903516,13.5856
Non-core,2021-03-18,56640,447279,12.6632
Small metro,2021-03-18,69758,491627,14.1892
Large central metro,2021-03-19,470815,3361980,14.0041
Large fringe metro,2021-03-19,360169,2472283,14.5683
Medium metro,2021-03-19,452081,2998590,15.0765
Micropolitan,2021-03-19,267658,1903516,14.0612
Non-core,2021-03-19,58720,447279,13.1283
Small metro,2021-03-19,72273,491627,14.7008
Large central metro,2021-03-20,477317,3361980,14.1975
Large fringe metro,2021-03-20,365515,2472283,14.7845
Medium metro,2021-03-20,457148,2998590,15.2454
Micropolitan,2021-03-20,271826,1903516,14.2802
Non-core,2021-03-20,59242,447279,13.245
Small metro,2021-03-20,72592,491627,14.7657
Large central metro,2021-03-21,479509,3361980,14.2627
Large fringe metro,2021-03-21,367245,2472283,14.8545
Medium metro,2021-03-21,458768,2998590,15.2995
Micropolitan,2021-03-21,272685,1903516,14.3253
